Title,Text,"Feeling-nervous,-anxious,-or-on-edge ",Not-being-able-to-stop-or-control-worrying,Worrying-too-much-about-different-things,Trouble-relaxing,Being-so-restless-that-it-is-hard-to-sit-still,Becoming-easily-annoyed-or-irritable,"Feeling-afraid,-as-if-something-awful-might-happen-soon"
How am I supposed to improve my life when I constantly want to die,"
Even during my depression I’ll get these small mini bursts of optimism and motivation thinking, “maybe I can make it?! Maybe I can improve my life and be happy!” And I’ll go to the gym for one day, or run, or try to learn something new, but that’s short lasted. The second I complete the task all I can think is. “What’s the point? I’m probably going to die anyway, so why spend time improving myself?” 

I honestly have no will to even live life, all my energy is spent just existing by distracting myself and spending money on stupid shit just to forget about life.

I feel stuck in purgatory. Not courageous enough to kill myself, not motivated enough to make myself happy. I’m stuck. Existing.",Yes,Yes,yes,Yes,UND,No,Yes
Should I click yes to give the psychiatrist permission to share my information with one of my parents? What are they gonna share?,"So I finally opened to my parents that I've been struggling with depression, but didn't tell them the exact main reason why because of how much embarrassment and shame I feel over it. They've been supportive and let me set up an appointment with a psychiatrist. There's a part that asks if they have permission to share my information with them. I really don't want them knowing about the real reason why I'm depressed. I feel like I'm obligated to click yes because I am on their insurance. What should I do?",No,No,No,No,No,No,No
What would you do in my position?,"I’m a pretty young boy still trying to develop my character. I’m in high school. I like to think I’m more mature than other people my age. Before I go into why I’m so unsure about something, I’m just going to give you some background story if you care to read it. 

Background:
In elementary school I was verbally abused by racism and many other factors. I was always picked on for some unknown reason. I like to think I was a very optimistic kid. However, those years was a turning point into how I ended up. I took this bullying pretty hard. I lived in fear the following year. I didn’t tell anyone about how I felt. I remember crying almost daily. 2 years after the bullying crisis I started to feel like I healed. I thought I made true friends that year which end up being really bad. I was ignored by that person for who knows what. I started to hang out with girls more as friends. I felt they were more understanding. I think it affected how I act because I remember changing my personality 3 times. People started to tell me that I act like a girl. Even my own parents. So I changed myself again. I became more and more less optimistic. I became more dry and alone. That following year, those friends I made (who were the girls) was a mess. I was a mess. I was so much in pain I did so many stupid things. I don’t even want to talk about those moments. I felt targeted by that friend and victimized. I was in fear that year too. At that moment I accepted that it was better for me to not have friends or anyone to care for me. I made this conclusion because my parents weren’t all that understanding either. I tried telling them how I feel multiple times, but they give me the answer that hurts even more. “There are people having it worse than you” (which I agree. But I don’t think that’s the main issue. I think the part they should see is how their issue effects that person). “You’re crying over a girl”(I’m relating to that one year I was victimized). It didn’t help that my brother is also illogical and not as mature as me. He’s younger than me but I was more matured than he was when I was his age. But everybody is different. That’s was me trying to say everything in short terms. And here I am present day. 


Quarantine made me feel more alone than anything. I thought I was used to dealing things on my own. These experiences that I’ve faced really made me think that there’s no one that understands me. I do these small things that no one does and I have a valid reason for why I chose to do it, but no one understands what I’m saying. I feel extremely excluded. Even to my own sexuality. Everyday I feel different. I feel so unnatural. I’m thinking it’s because I became unsure of who I am as a person because I changed myself so much. To make others more satisfied with me. I wanted to not be lonely. But changing myself made it worse. Death threats were made, insults about my physical appearance were made everyday, and I had no one to talk about it to. I envisioned my life being so happy 1 night. I had a friend who was caring and really nice. He was a true friend. I think what I’m trying to say here is that I feel so unloved and excluded. I feel that no one cared about how I felt. I had no one to talk to my feelings to so I became more irritated over little things. And no one in my life bothered to understand why. They thought I had low-temper. Which is not true. It’s really hard to explain all of these mix emotions I have in me. I remember my mom told me that I rely on others and not my parents. I could never tell them that I tried many times before that which came to no avail. I’m not diagnosed either. I always lie on those doctor depression paper thing because my dad watches me fill those out which raises my anxiety levels. 


Also a side note: 
I’m a person who is fearful. I tend to not believe what happened and become regretful of many things. It’s a major flaw that I try to get rid of. It’s really hard to explain. I tend to be so caught up in the past that I can’t accept what’s in front of me. I can’t interpret what’s happening in that moment. 

What would you do if you were me? I don’t want my parents involved because they won’t understand me at all. I don’t want to tell my brother because he’s so illogical and I think he hates me for whatever reason. I have no friends to talk to that would understand me. And I have no confidence to stand up myself at this point. What would you do?",Yes,Yes,Yes,No,No,Yes,Yes
SO says it's depression linked. How to stop being too much?,"Hello (Lengthy post, so I'm sorry in advance if I waste your time),

I am diagnosed with Autism Spectrum Disorder, however I believe it doesn't affect my day to day life enough to claim anything because other's have it worse (and most likely would be a waste on me anyway).

When I'm a member of a team, I feel too insignificant in comparison to colleagues/team mates to ever say or put in any input. I have explained to others that I see it as:

If I have to work really hard to keep the job, and they can chill / lounge around and still keep the job that's equal to mine, they must have more value than me, therefore I have to try harder and respect them as my superior.

My managers and colleagues say I'm too much and ""old""-friends have ended friendships due to me being ""too nice"".

At parties and gatherings, I decide to stay quiet because I believe I'll ruin the entire night and I find it easier to seek out those that aren't enjoying themselves to then go over, give them a bit of social motivation, make myself a laughing stock for them to laugh with their new friends and allow them to enjoy the night from then on without me intefering and potentially making it worse.

I have been told all my life I am too much, or just ""too"" something, but it's more of an insult now, even if it is said with positive intention. I just want to be ""enough"". Nothing more, nothing less.

This has come around due to my mother saying I would have done so much better in my life if I didn't focus on helping others so much, but I didn't even realise I was focusing. She tells me I'm ""too nice"" about once a month.

After talking to my current SO, she says it is depression.

Thank you for your time, and sorry for wasting time if you read this and don't know how to help,

OQPATY",No,No,No,No,No,No,Yes
Your experience with SSRI's,"Have you ever gone off of SSRI?

Did you go off cold turkey or taper off?

What was the experience like?

Do you regret it or applaud it?

Did going off of your SSRI change your life for the better or the worst?

Did you feel your symptoms were actually manageable with therapy and coping skills after going off SSRI?

I'm 30 years old. I've been struggling with PTSD, OCD, Anxiety and Depression symptoms my entire life and I've just now accepted that I need to get help. I didn't have my first therapy visit until yesterday. I'm totally okay with therapy, but I'm scared to try medication. I have an appointment scheduled with a psychiatrist on 2/6/2019. The side effects and dependency on medication scare the living shit out of me. I don't want to lose myself.

Please help and be completely honest.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
Two Faced People - Need Advice,"So basically, today in college we had a 15 minute break and my mate and I went out of college we went to the shops. We came back at the end of the break and as soon as we walked in this girl said ""speaking of the devil. We were just speaking about you"" and she was saying about my mate. I sat down on my seat and I got a message from my mate telling me that they were chatting shit about me, these two girls. They were going on about how I was ugly and how I can't get any girls and stuff. It didn't bother me about what they said, but should I have said something back, I'm not really looking for drama especially right now where I have a situation going on with a girl. I just want some advice on what I should've done or next time if I catch them talking about me. By the way, I didn't say anything to them girls, they said this randomly. Also, I am not a player or anything either so I don't know why she would have said that.",No,No,No,No,No,No,No
How can I force myself to do important things when I’m feeling like shit?,"I (f,23) was extremely depressed for a very long time. I took meds, worked on myself, got better, but now I’m going downhill again. It fucking sucks because i have a lot of opportunities in front of me and I’m not working on anything because I’m simply feeling like shit. and idk how i can force myself to do those things even though ik that if i don’t do them ill be ruining my future. 
I just need some tips or anything that u thought helped u get shit done in hopes that it will get me to do the things that i have to do. 
Thank you and apologies for the language I’m just extremely frustrated.",Yes,Yes,No,No,No,No,Yes
I feel like i'm loosing my best friend and I don't know what to do,"My friend has been the best thing that's ever happened to me. He changed how I view the world and idk what i'd do without him. I rely on him for helping me work through my anxieties, which often revolve around complex sociological and existential questions. Recently he started college, and he hasn't really seemed to have time for me. Questions and anxieties pile up in his pms and he only occasionally responds. I can't lose him.",Yes,Yes,Yes,No,No,No,No
"I hate myself so much, I don't deserve to live","I am probably the most disgusting person in the world, or at least I feel like that. I don't have many friends and that for a reason, I never grant people any success because I get jealous of it. I wish people unluck so that I can catch up with them, how pathetic. I think about people's flaws and start judging them based on that. I develop a unnecessary hate towards them, gossip behind backs and more. I also feel like I don't really have any unique characteristics /personality. Iam boring, I never have an own opinion, I just clinge to the opinions of those that I admire and plan on back stabbing them once im done with all the dick sucking. Iam just waste of flesh, i should have been aborted, and no iam not just in this *mood* at the moment, that's how I always feel, I realized it a long time ago but there is just not a cure for my *hate*  *jealousy* and whatever sin from the Bible I embody. If God exists and if he truly punishes those who deserve it, than why am I not already dead. Also why can't I change, why was I born this way, why was I bullied so hard in high school, why am I gay, why could I never experience love till now? Just end me so that no one has to deal with me anymore.",Yes,Yes,Yes,No,No,No,No
My reward system is fked,"I really want to start living. I can't focus, concentrate or work on anything. I eat shit, sleep like shit and indulge in all horrible things. I want to start working on myself and finding that magic in life cause its gone and it has been for the past 19 years. How do I work towards enjoying things like exercise, working, learning and focusing? I have no control over my life and I did enjoy these things at one point. Its causing me so much pain and sadness.",Yes,Yes,Yes,No,No,No,No
